frequency	date
1	27/05/2021
3	2/05/2021
10	22/05/2021
6	23/05/2021
4	19/05/2021
8	1/05/2021
1	2/05/2021
5	8/05/2021
1	19/05/2021
2	30/05/2021
2	19/05/2021
1	8/05/2021
8	26/05/2021
3	8/05/2021
2	21/05/2021
19	8/05/2021
1	6/05/2021
1	8/05/2021
3	8/05/2021
10	8/05/2021
2	8/05/2021
4	14/05/2021
1	17/05/2021
2	8/05/2021
4	21/05/2021
5	7/05/2021
5	31/05/2021
2	9/05/2021
1	3/05/2021
2	8/05/2021
6	23/05/2021
6	22/05/2021
3	20/05/2021
2	19/05/2021
1	8/05/2021
2	8/05/2021
6	23/05/2021
5	23/05/2021
5	5/05/2021
2	8/05/2021
5	8/05/2021
1	14/05/2021
2	5/05/2021
3	17/05/2021
10	8/05/2021
4	8/05/2021
2	8/05/2021
6	22/05/2021
10	17/05/2021
4	15/05/2021
1	8/05/2021
5	15/05/2021
2	17/05/2021
15	12/05/2021
2	8/05/2021
3	29/05/2021
3	22/06/2021
5	7/06/2021
4	2/06/2021
1	27/06/2021
1	24/06/2021
3	22/06/2021
2	14/06/2021
1	21/06/2021
2	29/06/2021
8	25/06/2021
5	12/06/2021
3	5/06/2021
10	7/06/2021
6	8/06/2021
4	17/06/2021
3	20/06/2021
1	11/06/2021
4	13/06/2021
6	23/06/2021
1	28/06/2021
2	13/06/2021
2	5/06/2021
3	4/06/2021
6	8/06/2021
3	6/06/2021
3	13/06/2021
1	12/06/2021
1	18/06/2021
1	27/06/2021
2	18/06/2021
2	7/06/2021
1	27/06/2021
3	14/06/2021
8	10/06/2021
8	12/06/2021
6	4/06/2021
2	13/06/2021
3	11/06/2021
3	22/06/2021
1	11/06/2021
10	3/06/2021
5	22/06/2021
3	12/06/2021
1	10/06/2021
4	10/06/2021
4	3/06/2021
5	26/06/2021
3	12/06/2021
3	16/06/2021
2	27/06/2021
4	18/06/2021
1	11/06/2021
4	17/06/2021
2	29/06/2021
1	8/06/2021
1	24/06/2021
1	4/06/2021
7	16/06/2021
3	22/06/2021
1	8/06/2021
3	26/06/2021
1	5/06/2021
6	5/06/2021
1	7/06/2021
4	12/06/2021
1	27/06/2021
1	22/06/2021
2	15/06/2021
32	17/06/2021
2	25/06/2021
6	11/06/2021
3	28/06/2021
3	20/06/2021
1	13/06/2021
7	16/06/2021
2	27/06/2021
14	1/06/2021
5	2/06/2021
2	9/06/2021
1	5/06/2021
1	10/06/2021
4	22/06/2021
2	22/06/2021
1	13/06/2021
12	27/06/2021
3	15/06/2021
1	5/06/2021
5	22/06/2021
3	12/06/2021
2	15/06/2021
8	11/06/2021
9	25/06/2021
2	19/06/2021
3	5/06/2021
1	27/06/2021
3	26/06/2021
1	10/06/2021
3	5/06/2021
3	26/06/2021
3	13/06/2021
1	21/06/2021
3	22/06/2021
6	27/06/2021
6	28/06/2021
1	20/06/2021
1	5/06/2021
3	11/06/2021
1	13/06/2021
2	16/06/2021
9	30/06/2021
1	21/06/2021
3	27/06/2021
2	27/06/2021
30	12/06/2021
4	30/06/2021
7	25/06/2021
1	5/06/2021
1	5/06/2021
25	26/06/2021
4	30/06/2021
6	5/06/2021
3	20/06/2021
3	21/06/2021
4	18/06/2021
1	27/06/2021
2	12/06/2021
2	19/06/2021
3	9/06/2021
1	24/06/2021
2	30/06/2021
3	6/06/2021
2	27/06/2021
4	17/06/2021
3	14/06/2021
40	3/06/2021
1	22/06/2021
2	14/06/2021
5	29/06/2021
5	22/06/2021
2	26/06/2021
6	12/06/2021
25	26/06/2021
3	11/06/2021
10	12/06/2021
5	22/06/2021
1	29/06/2021
14	20/06/2021
5	5/06/2021
3	13/06/2021
1	4/06/2021
1	27/06/2021
7	23/06/2021
12	17/06/2021
2	4/06/2021
2	4/06/2021
1	26/06/2021
3	14/06/2021
1	8/06/2021
2	14/06/2021
2	13/06/2021
2	19/06/2021
5	11/06/2021
25	16/06/2021
3	5/06/2021
2	29/06/2021
3	22/06/2021
7	25/06/2021
2	3/06/2021
2	3/06/2021
3	17/06/2021
7	16/06/2021
3	26/06/2021
1	12/06/2021
19	30/06/2021
2	14/06/2021
1	12/06/2021
10	5/06/2021
7	23/06/2021
4	12/06/2021
4	22/06/2021
1	29/06/2021
2	27/06/2021
2	16/06/2021
6	22/06/2021
3	4/06/2021
6	22/06/2021
1	6/06/2021
1	23/06/2021
2	5/06/2021
5	7/06/2021
3	14/06/2021
1	15/06/2021
3	22/06/2021
5	6/06/2021
40	3/06/2021
8	23/06/2021
1	8/06/2021
10	8/06/2021
4	12/06/2021
2	29/06/2021
1	21/06/2021
1	4/06/2021
1	26/06/2021
1	26/06/2021
2	18/06/2021
7	23/06/2021
4	2/06/2021
2	26/06/2021
3	26/06/2021
1	29/06/2021
1	24/06/2021
1	18/06/2021
25	5/06/2021
8	25/06/2021
4	21/06/2021
6	8/06/2021
1	13/06/2021
2	14/06/2021
2	9/06/2021
3	16/06/2021
8	5/06/2021
1	25/06/2021
7	23/06/2021
7	29/06/2021
3	6/06/2021
2	19/06/2021
2	14/06/2021
3	14/06/2021
10	8/06/2021
1	12/06/2021
